time,vx,vy,vz
0.682500,5.098008,6.406993,1.725725
0.683750,4.644051,6.149364,1.312500
0.685000,4.148997,5.870295,0.887730
0.686250,3.697296,5.511604,0.532105
0.687500,3.439913,5.192076,0.163507
0.688750,3.321822,4.969369,-0.159255
0.690000,3.307235,4.867172,-0.308148
0.691250,3.464795,4.951100,-0.303044
0.692500,3.751270,5.097595,-0.187603
0.693750,4.107646,5.238807,0.030802
0.695000,4.485901,5.586740,0.340322
0.696250,4.990889,6.013249,0.583471
0.697500,5.631876,6.391010,0.840013
0.698750,6.155197,6.684964,1.235024
0.700000,6.680669,6.846652,1.639655
0.701250,7.347813,6.860918,2.039866
0.702500,8.059421,6.773230,2.250140
0.703750,8.685565,6.591325,2.341464
0.705000,9.264022,6.233324,2.396548
0.706250,9.849256,5.808948,2.331483
0.707500,10.360441,5.406367,2.307611
0.708750,10.778724,4.916986,2.216567
0.710000,11.041215,4.674179,2.129249
0.711250,11.188479,4.780251,2.316699
0.712500,11.248682,4.744333,2.657112
0.713750,11.182608,4.637965,3.005669
0.715000,10.957666,4.708951,3.400571
0.716250,10.678484,4.925679,3.895284
0.717500,10.423591,5.340228,4.287005
0.718750,10.027132,5.832529,4.657344
0.720000,9.497076,6.195055,5.075793
0.721250,9.017299,6.432741,5.365136
0.722500,8.495567,6.537252,5.598531
0.723750,7.952398,6.590160,5.771127
0.725000,7.561845,6.421735,5.849464
0.726250,7.165843,6.096825,5.738530
0.727500,6.817326,5.736289,5.427164
0.728750,6.580920,5.250740,5.163406
0.730000,6.337941,4.823565,4.890478
0.731250,6.012326,4.573113,4.580864
0.732500,5.724208,4.480074,4.431356
0.733750,5.649260,4.407328,4.459753
0.735000,5.801727,4.436276,4.534587
0.736250,6.088160,4.584165,4.693321
0.737500,6.394056,4.944121,5.070286
0.738750,6.587412,5.420701,5.452094
0.740000,6.818028,5.870269,5.676701
0.741250,7.298400,6.216630,5.832321
0.742500,7.835340,6.432205,5.880960
0.743750,8.394886,6.711629,5.816354
0.745000,9.090637,6.804604,5.615101
0.746250,9.805987,6.670935,5.392970
0.747500,10.532705,6.461669,4.976282
0.748750,11.211940,6.232831,4.266650
0.750000,11.789494,5.989549,3.569061
0.751250,12.259912,5.683525,2.896083
0.752500,12.610963,5.379295,2.275232
0.753750,12.834353,5.153515,1.805494
0.755000,12.967869,4.992330,1.501047
0.756250,12.932839,4.952466,1.240437
0.757500,12.708915,5.142400,1.056215
0.758750,12.516631,5.355492,0.933080
